Borough,District,Building Code,DBN,School Name,SchoolFood Code,Breakfast Before Bell ADP             FY18,Breakfast Before Bell ADP             FY19,"Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY18","Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY19",Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)          FY18,Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)           FY19,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY18,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY19,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY18,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY19,Lunches ADP            FY18,Lunches ADP            FY19,Salad bar  (Y = Salad Bar offered in building)                 FY18,Salad bar  (Y = Salad Bar offered in building)                 FY19,Snacks ADP            FY18,Snacks ADP            FY19,Suppers ADP            FY18,Suppers ADP            FY19
M,1,M056,79M973,Restart Academy at Orchard Collegiate,1973,1,2,,,true,,,,,,5,5,true,,,,,
M,2,M001,02M001,P.S. 001 Alfred E. Smith,2001,95,89,,,true,true,true,true,true,true,269,243,true,,,,68,79
M,2,M913,88M982,ALC-Battery Park,2882,10,10,,,true,,,,,,18,14,,,,,,
M,2,M002,02M002,P.S. 002 Meyer London,2002,124,126,,,true,true,,,,,471,430,true,true,212,153,222,74
M,2,M003,02M003,P.S. 003 Charrette School,2003,103,103,,,true,true,,,,,306,310,true,true,,,,
M,2,M006,02M006,P.S. 006 Lillie D. Blake,2006,81,94,,,true,true,,,,,203,281,true,true,,,,
M,2,M011,02M011,P.S. 011 William T. Harris,2011,104,115,,,true,true,,,,,354,371,true,true,,,,
M,2,M033,02M033,P.S. 033 Chelsea Prep,2033,157,160,,,true,true,,,,,314,362,true,true,88,16,,45
M,2,M912,75M035,P035M @ M912,2035,20,24,,,true,,,,,,43,38,true,true,,24,,
M,2,M040,02M040,P.S. 040 Augustus Saint-Gaudens,2040,61,64,,,true,true,,,,,304,347,true,true,,,,
M,2,M041,02M041,P.S. 041 Greenwich Village,2041,38,38,,,true,true,,,,,271,296,true,true,,,,
M,2,M042,02M042,P.S. 042 Benjamin Altman,2042,127,107,,,true,true,true,true,true,true,597,525,true,true,,,182,81
M,2,M047,02M047,47 The American Sign Language and English Secondary School,2047,17,10,,,true,true,,,,,51,48,true,true,,20,,
M,2,M338,02M051,P.S. 051 Elias Howe,2051,151,148,,,true,true,,,,,355,344,true,true,,,121,93
M,2,M058,75M035,P.S. 035,2058,25,23,,,true,,,,,,42,35,true,,,15,,
M,2,M488,02M059,P.S. 059 Beekman Hill International,2059,41,30,,,true,true,,,,,183,189,true,true,,,,
M,2,M089,02M089,P.S. 89,2089,15,20,,,true,true,,,,,121,161,true,true,,,,
M,2,M104,02M104,J.H.S. 104 Simon Baruch,2104,63,76,,,true,true,,,,,366,346,true,true,143,164,89,61
M,2,M111,02M111,P.S. 111 Adolph S. Ochs,2111,85,97,,,true,true,,,,,241,249,true,true,36,71,49,
M,2,M116,02M116,P.S. 116 Mary Lindley Murray,2116,65,62,,,true,true,true,true,true,true,338,316,true,true,98,103,,
M,2,M124,02M124,P.S. 124 Yung Wing,2124,129,108,,,true,true,true,true,true,true,588,558,true,true,138,55,179,147
M,2,M126,02M126,P.S. 126 Jacob August Riis,2126,177,108,1,1,true,true,true,true,,true,496,401,true,true,,77,174,83
M,2,M130,02M130,P.S. 130 Hernando De Soto,2130,148,140,,,true,true,,,,,805,808,true,true,162,350,257,133
M,2,M520,02M135,The Urban Assembly School For Emerge,2135,19,10,,,true,true,,,,,67,56,true,true,37,38,35,
M,2,M625,02M139,Stephen T. Mather Building Arts Craf,2139,60,65,,,true,true,,,,,94,79,true,true,,,,
M,2,M047,02M347,The 47 American Sign Language & English Lower School,2147,133,119,,,true,true,,,,,160,146,true,true,24,16,14,16
M,2,M066,02M151,Yorkville Community School,2151,108,133,,,true,true,true,true,,,304,335,true,true,,,,
M,2,M158,02M158,P.S. 158 Bayard Taylor,2158,87,93,,,true,true,,,,,277,304,true,true,,,,
M,2,M167,02M167,J.H.S. 167 Robert F. Wagner,2167,41,60,,,true,true,,,,,392,361,true,true,43,123,,
M,2,M169,75M169,P169M @ Robert F. Kennedy,2169,161,150,,,true,,,,,,147,121,,,,,17,15
M,2,M158,02M177,Yorkville East Middle School,2177,23,18,,,true,true,,,,,77,69,true,true,35,24,,
M,2,M183,02M183,P.S. 183 Robert L. Stevenson,2183,14,15,,,true,true,,,,,234,216,true,true,,,,
M,2,M905,02M442,"Ballet Tech, NYC Public School for Dance",2184,42,41,,,true,true,,,,,102,100,,,,,,
M,2,M190,02M290,P.S. 290 Manhattan New School,2190,50,41,,,true,true,,,,,231,217,true,true,,,,
M,2,M198,02M198,P.S. 198 Isador E. Ida Straus,2198,78,94,,,true,true,,,,,283,303,true,true,30,52,84,82
