Borough,District,Building Code,DBN,School Name,SchoolFood Code,Breakfast Before Bell ADP             FY18,Breakfast Before Bell ADP             FY19,"Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY18","Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY19",Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)          FY18,Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)           FY19,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY18,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY19,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY18,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY19,Lunches ADP            FY18,Lunches ADP            FY19,Salad bar  (Y = Salad Bar offered in building)                 FY18,Salad bar  (Y = Salad Bar offered in building)                 FY19,Snacks ADP            FY18,Snacks ADP            FY19,Suppers ADP            FY18,Suppers ADP            FY19
X,7,X001,07X001,P.S. 001 Courtlandt School,7001,531,498,1,1,true,true,true,true,,,512,501,true,true,54,66,130,55
X,7,X005,07X005,PS 5 Port Morris,7005,332,322,1,1,true,true,,,true,,604,613,true,true,42,60,66,73
X,7,X162,75X010,P.S. X010,7010,35,53,,,true,,,,,,36,54,true,true,,,19,27
X,7,X043,75X017,P.S. X017,7017,91,91,,,true,,,,,,93,92,true,true,,15,17,10
X,7,X018,07X018,P.S. 018 John Peter Zenger,7018,2,,410,410,true,,true,true,,,408,411,true,true,63,57,112,98
X,7,X025,07X025,P.S. 025 Bilingual School,7025,184,180,,,true,true,true,true,,true,469,491,true,true,101,96,150,179
X,7,X027,07X277,P.S. 277,7027,195,215,,,true,true,true,true,true,true,372,379,true,true,86,81,117,69
X,7,X029,07X029,P.S./M.S. 029 Melrose School,7029,177,184,,,true,true,,true,,,516,513,true,true,,24,78,41
X,7,X030,07X030,P.S. 030 Wilton,7030,227,197,,,true,true,,,,,417,397,true,,86,102,76,85
X,7,X151,07X031,P.S./M.S. 031 The William Lloyd Garrison,7031,256,251,1,1,true,true,,,,,471,506,true,true,39,47,171,144
X,7,X043,07X043,P.S. 043 Jonas Bronck,7043,188,189,,,true,true,true,true,true,true,326,329,true,true,51,93,93,79
X,7,X049,07X049,P.S. 049 Willis Avenue,7049,276,270,,,true,true,true,true,true,,504,483,true,true,82,96,24,
X,7,X065,07X065,P.S. 065 Mother Hale Academy,7065,113,120,,,true,true,,,,,301,286,true,true,69,42,127,70
X,7,X149,07X221,South Bronx Preparatory: A College Board School,7149,415,344,,,true,true,,,,,142,129,true,true,54,49,59,
X,7,X151,07X151,J.H.S. 151 Lou Gehrig,7151,55,47,,,true,true,,,true,,167,159,true,true,77,59,123,85
X,7,X154,07X154,P.S. 154 Jonathan D. Hyatt,7154,222,203,,,true,true,,true,true,,305,288,true,true,111,108,135,52
X,7,X157,07X157,P.S. 157 Grove Hill,7157,143,162,,,true,true,true,true,true,true,473,492,true,true,34,48,28,34
X,7,X161,07X161,P.S. 161 Ponce De Leon,7161,203,168,,,true,true,true,true,,,402,376,true,true,55,53,,
X,7,X183,75X168,P.S. 168,7168,111,100,,,true,,,,,true,146,138,true,true,,,53,54
X,7,X040,07X179,P.S. 179,7179,121,126,,,true,true,true,true,,true,224,203,true,,25,20,93,60
X,7,X790,75X188,P.S. X188,7188,48,72,,,true,,,,,,60,78,true,,,,,
X,7,X655,84X208,New Visions Charter HS for the Humanities II,7208,90,58,,,true,true,,,,,198,168,true,true,,,,
X,7,X139,07X343,Academy of Applied Mathematics and Technology,7222,68,61,,,true,true,,,,,187,170,true,true,72,74,84,65
X,7,X149,07X223,M.S. 223 The Laboratory School of Finance and Technology,7223,23,36,,,true,true,,,,,270,234,true,true,180,237,51,
X,7,X139,07X224,P.S. / I.S. 224,7224,32,36,,,true,true,,,true,,143,146,true,true,25,23,123,101
X,7,X655,07X259,"H.E.R.O. High Health, Educ, & Resear",7259,34,28,,,true,true,,,,,171,136,true,true,,,,
X,7,X040,07X369,Young Leaders Elementary School,7269,131,112,,,true,true,true,true,,true,204,185,true,,44,66,59,61
X,7,X162,07X584,KAPPA VII,7284,58,52,,,true,true,,,,,194,162,true,true,,36,73,60
X,7,X184,07X296,South Bronx Academy for Applied Media,7296,39,30,,,true,true,,,,,102,80,,,23,,78,77
X,7,X184,07X298,Academy of Public Relations,7298,23,22,,,true,true,,,,,151,144,,,82,48,44,27
X,7,X156,07X359,Concourse Village Elementary School,7359,95,98,,,true,true,,true,,,227,207,true,true,,,,
X,7,X600,07X381,Bronx Haven High School,7381,80,18,,,true,true,,,true,,44,34,true,true,,,,
X,7,XAEJ,84X387,Brilla College Preparatory CS,7387,255,251,,,true,,,,,,289,309,,,154,143,,
X,7,X884,07X427,Community School for Social Justice,7427,47,37,,,true,true,,,true,,93,77,true,,,,,
X,7,X027,75X469,P469X At X027,7468,52,66,,,true,,,,true,true,57,65,true,true,,,,
X,7,X855,75X469,P469X @ PS 30 Annex,7469,53,36,,,true,,,,true,true,53,36,,,,,,
X,7,X030,84X471,American Dream Charter School,7471,67,57,,,true,,,,,,184,186,true,,90,82,135,
X,7,XAEI,84X387,Brilla College Preparatory Charter Middle School,7487,54,72,,,true,,,,,,62,113,,,47,66,,
X,7,X155,84X491,Academic Leadership Charter Middle School,7491,76,51,,,true,,,,,,161,129,true,true,,,,
X,7,XBBM,84X492,ERROR: #N/A,7492,32,,,,true,true,,,,,239,,,true,245,,,
X,7,XBBX,84X497,Storefront Academy Charter School,7497,68,103,,,true,true,,,,,88,166,,,44,62,,
X,7,X162,07X500,Hostos-Lincoln Academy of Science,7500,44,41,,,true,true,,,,,202,192,true,true,,32,35,
X,7,X460,09X505,"Bronx School for Law, Government and",7505,115,109,,,true,true,,,,,480,459,true,true,56,89,94,64
X,7,X600,07X600,Alfred E. Smith Career and Technical Education High School,7519,99,115,,,true,true,,,,,213,218,true,true,55,51,,
X,7,X884,07X670,Health Opportunities High School,7522,72,56,,,true,true,,,,,174,157,true,,41,38,,
X,7,X600,07X522,Bronx Design and Construction Academy,7523,97,125,,,true,true,,,,,218,211,true,true,,26,42,26
X,7,X139,07X334,International Community High School,7524,52,58,,,true,true,,,,,160,149,true,true,59,42,41,76
X,7,X790,07X527,Bronx Leadership Academy II High School,7527,36,31,,,true,true,,,,,174,150,true,,,68,277,264
X,7,X470,07X473,Mott Haven Village Preparatory High School,7530,52,46,,,true,true,,,,,115,109,true,true,48,55,,
X,7,X354,07X533,Pre-K Center at 80 Bruckner Boulevard,7533,48,57,,,true,,,,,,48,56,,,,,50,
X,7,X790,07X547,ERROR: #N/A,7547,10,,,,true,,,,,,80,,true,,11,,,
X,7,X790,07X548,Urban Assembly School for Careers in Sports,7548,44,48,,,true,true,,,,,133,142,true,,24,20,21,20
X,7,X183,07X551,The Urban Assembly Bronx Academy of Letters,7551,87,100,,,true,true,,,true,true,163,133,true,true,58,73,,
X,7,X655,07X557,Mott Haven Community H.S.,7557,74,71,,,true,true,,,true,,104,91,true,true,,,,
X,7,XBPP,84X471,The American Dream Charter School Annex,7571,36,40,,,true,,,,,,76,122,true,,,,42,
X,7,X155,75X754,J. M. Rapport School Career Development,7579,68,73,,,true,,,,,,105,114,true,true,22,25,,
X,7,X184,07X379,Jill Chaifetz Transfer High School,7580,9,13,,,true,true,,,,,49,41,,,,,,
X,7,X470,07X495,University Heights Secondary School,7584,59,60,,,true,true,,,,,195,200,true,true,14,,,
X,7,XAQI,84X586,Brilla College Preparatory Charter School Veritas,7586,83,110,,,true,true,,,,,84,100,,,50,61,,
X,7,XBBY,84X610,Urban Dove Team Charter School II,7610,,25,,,,true,,,,,,27,,,,,,
X,7,X156,75X017,P017X @ Performance School,7617,29,30,,,true,,,,,,30,32,true,true,,,,
X,7,X356,07X533,Pre-K Center at 535 Union Avenue,7633,85,106,,,true,,,,,,93,118,,,,,,33
X,7,X157,75X469,ERROR: #N/A,7669,9,,,,true,,,,true,true,10,,,true,,,,
X,7,X790,84X581,South Bronx Community Charter High School,7800,19,22,,,true,true,,,,,73,100,,,64,83,,58
X,7,X151,84X704,KIPP Academy Charter School,7801,47,54,,,true,true,,,,,203,209,true,true,422,387,,
X,7,X156,84X389,Bronx Global Learning Institute for Girls Charter,7815,120,113,,,true,true,,,,,265,245,true,true,205,179,20,
X,7,X161,75X017,P.S. X017,7817,94,92,,,true,,,,,,107,107,true,true,18,,,
X,7,X040,75X352,P.S. 352X @ PS 179X,7819,13,13,,,true,,,,,true,13,14,true,,,,,
X,7,X162,84X393,University Prep Charter High School,7820,10,8,,,true,true,,,,,192,196,true,true,,,,
X,7,X049,75X723,P.S. 723,7823,24,25,,,true,,,,true,true,23,26,true,true,11,,,
X,7,XAHW,75X723,P.S. 723,7829,58,44,,,true,,,,true,true,58,44,,,,,,
X,7,X790,84X704,KIPP Academy Charter School,7831,243,217,,,true,true,,,,,376,380,true,,433,,,
X,7,X065,84X491,Academic Leadership Charter School,7850,119,136,,,true,,,,,,218,254,true,true,,,,
X,7,XAFR,84X407,Bronx Charter School for Children,7852,198,219,,,true,true,,,,,380,380,,,93,,,81
X,7,XAFI,84X554,New York City Montessori Charter School,7853,93,95,,,true,true,,,,,228,222,true,,104,126,68,53
X,7,XAQO,75X754,P754X at Lincoln Hospital,7854,8,8,,,true,,,,,,8,8,,,,,,
X,7,X154,84X364,South Bronx Classical Charter Sch II,7864,177,168,,,true,true,,,,,233,247,true,true,183,186,,
X,7,X183,84X493,Bronx Success Academy Charter School 1,7881,276,287,,,true,true,,,true,true,434,395,true,true,,,,
X,7,X184,75X017,PS 17,7917,83,108,,,true,,,,,,110,120,,,53,,,44
X,7,XBAO,79Q950,Pathways to Graduation @ Bronx Youth Center,7951,11,10,,,true,,,,true,true,11,10,,,,,,
X,7,X655,79M973,Re-Start Academy,7973,12,9,,,true,,,,,,13,9,true,true,,,,
X,7,X470,79M984,LYFE [Babies],7984,5,4,,,true,,,,,,5,5,true,true,5,4,,
X,8,X101,75X010,P.S. X010,8010,120,127,,,true,,,,,,124,129,true,true,,,20,15
X,8,X014,08X014,P.S. X014 Senator John Calandra,8014,136,123,,,true,true,,,,,336,371,,true,36,43,80,69
X,8,XAUF,75M035,P035M @ Adolescent Skills Center,8035,2,2,,,true,,,,,,2,2,,,,,,
X,8,X036,08X036,P.S. 036 Unionport,8036,143,129,,,true,true,true,true,true,true,558,561,true,true,148,158,56,47
X,8,X048,08X048,P.S. 048 Joseph R. Drake,8048,328,356,,,true,,,,true,true,572,555,true,true,201,201,92,43
X,8,X052,08X302,M.S. 302 Luisa Dessus Cruz,8052,20,30,,,true,true,,,,true,312,305,true,true,68,132,65,72
X,8,X062,08X062,P.S. 062 Inocensio Casanova,8062,118,112,,,true,true,true,true,true,true,457,431,,,121,83,47,71
X,8,X069,08X069,P.S. 069 Journey Prep School,8069,129,121,1,1,true,true,true,true,true,true,433,437,true,true,101,113,,
X,8,X071,08X071,P.S. 071 Rose E. Scala,8071,178,156,,,true,true,true,true,true,true,952,894,true,true,155,162,,
X,8,X072,08X072,P.S. 072 Dr. William Dorney,8072,5,1,462,462,true,true,true,true,true,true,590,524,true,true,55,77,76,75
X,8,X075,08X075,P.S. 075,8075,8,3,397,397,true,true,true,true,true,,440,385,true,true,72,42,154,156
X,8,X093,08X093,P.S. 093 Albert G. Oliver,8093,149,135,,,true,true,,,,,250,233,true,true,109,112,114,17
X,8,X100,08X100,P.S. 100 Isaac Clason,8100,2,,392,392,true,,true,true,true,true,411,367,true,true,85,83,109,106
X,8,X101,08X101,M.S. X101 Edward R. Byrne,8101,38,38,,,true,true,,,,,207,180,true,true,37,,33,16
X,8,X107,08X107,P.S. 107,8107,178,188,,,true,true,,,,,298,314,true,true,50,158,173,155
X,8,X119,08X119,P.S. 119,8119,132,86,1,1,true,true,true,,true,true,390,406,true,true,96,61,95,86
X,8,X120,08X301,M.S. 301 Paul L. Dunbar,8120,176,180,,,true,true,,,,,177,155,,true,36,,,41
X,8,X123,08X123,J.H.S. 123 James M. Kieran,8123,18,21,,,true,true,,,,,241,262,true,true,77,77,74,
X,8,X125,08X125,ERROR: #N/A,8125,36,,,,true,,,,,,229,,true,true,28,,53,
X,8,X130,08X130,P.S. 130 Abram Stevens Hewitt,8130,192,150,,,true,true,true,true,true,true,362,320,,,42,35,125,75
X,8,X131,08X131,J.H.S. 131 Albert Einstein,8131,214,232,,,true,true,,,true,true,381,420,true,true,101,118,88,34
X,8,X060,08X333,The Longwood Academy of Discovery,8133,199,196,1,1,true,true,,,,,509,501,true,true,128,123,,
X,8,X138,08X138,P.S. 138 Samuel Randall,8138,232,219,,,true,true,true,true,,true,546,536,true,true,100,112,146,68
X,8,X140,08X140,P.S. X140 The Eagle School,8140,161,176,,,true,true,true,true,,true,395,395,true,true,59,67,118,57
X,8,X146,08X146,P.S. 146 Edward Collins,8146,179,193,,,true,true,,true,,true,358,337,true,true,66,54,102,84
X,8,X152,08X152,P.S. 152 Evergreen,8152,193,219,,,true,true,true,true,,true,698,717,true,true,124,76,,
X,8,X182,08X182,P.S. 182,8182,483,415,,,true,true,true,true,true,true,628,562,true,true,,,,
X,8,XATV,84X185,Bronx Lighthouse College Prep. Acad.,8185,32,36,,,true,,,,,,123,135,true,true,,,,
X,8,X120,75X188,P.S. X188,8188,122,117,,,true,,,,,,124,120,,true,,,,
X,8,X650,84X202,New Visions Chtr HS-Adv Ma/Sci Ii,8202,52,40,,,true,true,,,,,197,187,true,true,21,11,,19
X,8,X988,88X966,ALC - BRONX EDUCATIONAL CENTER,8237,7,5,,,true,,,,,,10,6,,,,,,
X,8,X965,88X997,ALC - PAL Longwood,8240,16,13,,,true,,,,,,25,20,,,,,,
X,8,X174,08X367,"Archimedes Academy for Math, Science and Technology Applications",8267,105,98,,,true,true,,,,,322,295,true,true,54,19,40,29
X,8,X392,08X269,Bronx Studio School for Writers and Artists,8269,61,47,,,true,true,,,,,315,272,true,true,219,196,69,51
X,8,X192,08X371,Urban Institute of Mathematics,8271,17,8,,,true,true,,,,true,81,60,true,true,54,37,108,63
X,8,X174,08X375,The Bronx Mathematics Preparatory School,8275,73,85,,,true,true,,,,,196,193,true,true,88,66,35,40
X,8,X174,08X282,Women's Academy of Excellence,8282,28,16,,,true,true,,,,,130,117,true,true,53,35,21,
X,8,X146,75X186,P186X at X146,8286,,50,,,true,,,,true,,,54,,true,,,,
X,8,X450,08X312,Millenium Art Academy,8312,49,68,,,true,true,,,,,166,169,true,true,100,,52,53
X,8,X125,08X119,P.S. 119,8319,8,10,,,true,true,true,,true,true,290,177,true,true,77,64,,
X,8,X405,08X320,Pelham Lab High School,8320,18,17,,,true,true,,,,,127,121,true,true,27,19,,
X,8,X123,08X337,The School for Inquiry and Social Justice,8337,45,49,,,true,true,,,,,339,336,true,true,83,111,45,
X,8,X405,08X348,Schuylerville Preparatory H.S.,8348,42,52,,,true,true,,,,,101,91,true,true,92,56,,
X,8,X405,08X349,Bronx River High School,8349,28,27,,,true,true,,,,true,128,129,true,true,,31,,
X,8,X075,75X352,P352X @ PS 75X,8352,126,141,,,true,,,,,true,127,143,true,true,,,,
X,8,X093,84X362,Icahn Charter School 7,8362,87,80,,,true,,,,,,130,117,true,true,67,45,,
X,8,X450,08X376,The Antonia Pantoja Preparatory Acad,8376,63,83,,,true,true,,,,,179,219,true,true,36,23,31,38
X,8,X450,08X377,Bronx Community HS,8377,43,10,,,true,true,,,,,13,7,true,true,23,,,25
X,8,X039,84X380,Success Acad Charter Sch-Bronx 3,8380,87,49,,,true,,,,,true,203,126,true,true,,,,
X,8,X192,08X392,Bronx Delta School,8392,71,99,,,true,true,true,true,,true,184,218,true,true,29,27,,
X,8,X405,08X408,Herbert H. Lehman Yabc,8408,,1,,,,true,,,,,87,31,true,true,,,,
X,8,X450,08X432,Bronx Bridges High School,8432,40,51,,,true,true,,,,,153,171,true,true,48,57,61,60
X,8,X131,08X448,Soundview Academy For Culture And Sc,8448,162,235,,,true,true,,,true,true,235,287,true,true,84,71,35,53
X,8,X107,84X362,Icahn Charter School 7 Annex,8462,,22,,,true,,,,,,,49,,true,,27,,
X,8,X131,84X464,Success Academy Charter School - Bronx 4,8464,274,282,,,true,true,,,,true,302,364,true,true,38,,,
X,8,X101,08X304,P.S. 304 Early Childhood School,8465,136,166,,,true,true,,,,,251,276,true,true,220,153,31,33
X,8,X823,84X465,ERROR: #N/A,8466,159,,,,true,true,,,,,166,,,,164,,,
X,8,X192,08X467,MOTT HALL COMMUNITY SCHOOL,8467,46,27,,,true,true,,,,true,113,106,true,true,14,,19,13
X,8,X120,84X487,Girls Preparatory Charter School Bronx Middle School,8487,64,58,,,true,,,,,,225,163,,true,74,85,,
X,8,XADU,84X488,Equality Charter High School,8488,,9,,,,,,,,,,164,,,,,,
X,8,XBBM,84X492,South Bronx Early College Academy Charter School,8492,,51,,,true,true,,,,,,208,,true,,114,,
X,8,XAUE,75X721,P.S. X721 - Stephen McSweeney School,8498,12,11,,,true,,,,true,,11,11,,,,,,
X,8,X972,08X519,ERROR: #N/A,8519,10,,,,true,,,,,,51,,true,true,24,,68,
X,8,X405,08X405,Herbert H. Lehman High School,8524,92,83,,,true,true,,,true,true,273,279,true,true,31,29,50,14
X,8,XAJV,84M707,John V. Lindsay Wildcat Academy Charter School,8533,23,11,,,true,,,,,,38,15,,,,,,
X,8,X039,08X332,ERROR: #N/A,8535,46,,,,true,,,,true,,60,,true,true,,,,
X,8,X972,08X537,Bronx Arena High School,8537,39,40,,,true,true,,,,,36,39,true,true,,,,
X,8,X450,08X452,Gotham Collaborative High School,8555,99,79,,,true,true,,,,,160,160,true,true,29,46,,
X,8,X405,08X558,Westchester Square Academy,8558,54,44,,,true,true,,,,true,230,151,true,true,33,43,50,27
X,8,X650,08X559,School for Tourism and Hospitality,8559,40,55,,,true,true,,,,,75,68,true,true,7,,,
X,8,X450,08X561,Bronx Compass High School,8561,53,57,,,true,true,,,,,153,152,true,true,17,,89,26
X,8,X125,08X562,Blueprint Middle School,8562,134,28,,,true,true,,,,true,219,403,true,true,31,16,39,51
X,8,XAJF,88X607,ALC -  Lafayette Academy,8580,5,4,,,true,,,,,,9,6,,,,,,
X,8,X317,08X583,PS 583,8583,72,103,,,true,true,,,,,92,164,true,true,,,,
X,8,X039,08X530,Banana Kelly High School,8587,65,63,,,true,true,,,,,79,92,true,true,,,,
X,8,X405,08X293,Renaissance High School for Musical Theater & Technology,8593,100,68,,,true,true,,,,true,44,53,true,true,63,63,,
X,8,X074,08X424,The Hunts Point School,8624,68,76,,,true,true,,,,,167,166,true,true,66,61,154,42
X,8,X039,79M645,D79 @ Banana Kelly H.S.,8645,4,3,,,true,,,,,,18,5,true,true,,,,
X,8,XBCA,84X465,ERROR: #N/A,8665,56,,,,true,true,,,,,67,,true,,82,,,
X,8,XAUF,79M973,Restart - Citywide,8801,7,8,,,true,,,,,,10,10,,,,,,
X,8,X074,84X345,Hyde Leadership Charter School,8803,291,278,,,true,true,,,,,465,455,true,true,175,126,136,40
X,8,XBPV,84X165,Grand Concourse Academy Charter School,8804,284,226,,,true,,,,,,271,326,,,,87,,
X,8,XAZS,84X165,Grand Concourse Academy Charter School Annex,8805,76,67,,,true,,,,,,76,73,,,,,,
X,8,X060,75X010,PS 10,8811,43,43,,,true,,,,,,44,43,true,true,,,,
X,8,X405,75X721,P.S. X721 - Stephen McSweeney School,8821,18,17,,,true,,,,true,,30,30,true,true,,,,
X,8,X052,84X487,Girls Preparatory Charter School of the Bronx,8840,188,284,,,true,,,,,,469,464,true,true,,,,
X,8,X140,75X186,P186X @ PS 140X,8841,40,41,,,true,,,,true,,40,41,true,true,,,,
X,8,X074,75X352,The Vida Bogart School for All Children,8853,69,74,,,true,,,,,true,76,84,true,true,,,,
X,8,X716,84X185,Bronx Lighthouse Charter School,8870,138,157,,,true,,,,,,329,330,,true,45,,47,
X,8,X848,08X048,PS 048 Joseph R. Drake Annex,8878,46,49,,,true,,,,true,true,48,51,,,,,,
X,8,X392,75X186,P186X @ Bronx Studio Sch for Writers,8886,5,3,,,true,,,,true,,7,5,true,true,,,,
X,8,XABL,08N713,Holy Family School,8900,86,73,,,true,true,,,,,142,153,,,20,20,,
X,8,XADX,08N901,Saint Joseph School For The Deaf,8918,60,55,,,true,true,,,,,61,57,,,16,16,,
X,8,XADL,08N719,SAINT FRANCES DE CHANTAL SCHOOL,8920,87,84,,,true,true,,,,,145,151,,,,,,
X,8,XAXE,08N860,Kiddie Kollege Prep Academy School,8927,9,9,,,true,true,,,,,9,9,,,,,,
X,8,X972,84X730,Bronx Charter School for the Arts Annex,8930,,33,,,,true,,,,,,93,,true,,,,
X,8,XACJ,08N715,Our Lady Of Assumption School,8942,78,84,,,true,true,,,,,121,149,,,,,,
X,8,XAEO,08N716,Saint Theresa School,8945,294,287,,,true,true,,,,,190,206,true,,,,,
X,8,ERROR: #N/A,08N705,ERROR: #N/A,8947,,,,,,,,,,,,,true,,,,,
X,8,X450,79Q950,Pathways to Graduation @Adlai E. Stevenson,8952,17,14,,,true,,,,true,true,17,15,true,true,,,,
X,8,X405,79Q950,ERROR: #N/A,8953,,,,,true,,,,true,true,,,,true,,,,
X,8,X101,75X754,J. M. Rapport School Career Development,8954,7,4,,,true,,,,,,7,3,true,true,,,,
X,8,XACC,08N704,Monsignor Scanlan High School,8957,61,94,,,true,true,,,,,242,241,true,,,,,
X,8,XAHF,08X700,"Dr, Katharine Dodge School",8966,61,67,,,true,true,,,,,61,67,,,,,,
X,8,X650,79M984,LYFE [Babies],8984,3,4,,,true,,,,,,3,4,true,true,3,3,,
X,8,X650,88X993,ALC-Jane Adams HS,8993,,10,,,,,,,,,17,12,true,true,,,,
X,8,X450,88X996,ALC@ Adlai Stevenson HS,8997,9,9,,,true,,,,,,17,13,true,true,,,,
X,9,X004,09X004,P.S./M.S. 004 Crotona Park West,9004,100,111,,,true,true,true,true,,true,321,296,true,true,,90,96,67
X,9,X240,75X010,P010X @ PS 240,9010,38,37,,,true,,,,,,39,41,true,true,,,,
X,9,X011,09X011,P.S. 011 Highbridge,9011,136,118,,,true,true,,,true,true,319,293,true,true,62,48,114,76
X,9,X022,09X022,J.H.S. 022 Jordan L. Mott,9022,25,30,,,true,true,,,,,215,246,true,true,47,,89,100
X,9,X028,09X028,P.S. 028 Mount Hope,9028,258,257,,,true,true,,,,,593,627,true,true,16,108,,10
X,9,X035,09X035,P.S. 035 Franz Siegel,9035,281,261,,,true,true,,,,,530,517,true,true,71,76,93,34
X,9,X042,09X042,P.S. 042 Claremont,9042,159,159,,,true,true,,,,,302,300,,,41,72,137,114
X,9,X053,09X053,P.S. 053 Basheer Quisim,9053,197,158,1,1,true,,true,true,true,true,513,580,true,true,53,70,136,65
X,9,X055,09X055,P.S. 055 Benjamin Franklin,9055,208,153,,,true,true,,,,,511,480,true,true,105,102,175,170
X,9,X058,09X058,P.S. 058,9058,218,192,,,true,true,,,,,396,363,true,true,126,88,127,86
X,9,X063,09X063,P.S. 063 Author's Academy,9063,111,121,,,true,true,,,,,380,316,true,true,33,24,26,25
X,9,X070,09X070,P.S. 070 Max Schoenfeld,9070,243,211,,,true,true,true,true,true,true,1022,858,true,true,,141,334,
X,9,X073,09X073,P.S. 073 Bronx,9073,134,121,,,true,true,true,true,true,true,595,483,true,true,50,74,142,107
X,9,X088,09X088,P.S. X088 - S. Silverstein Little Sparrow School,9088,41,41,1,1,true,true,,,,,125,128,,,,,,
X,9,X109,09X109,P.S. 109 Sedgwick,9109,154,172,,,true,true,true,true,true,true,504,490,true,true,43,31,,26
X,9,X110,09X110,P.S. 110 Theodore Schoenfeld,9110,129,108,1,1,true,true,,,,,347,357,true,true,101,144,,
X,9,X114,09X114,P.S. X114 - Luis Llorens Torres Schools,9114,121,122,,,true,true,,,,,538,513,true,true,206,148,272,200
X,9,X117,09X117,I.S. 117 Joseph H. Wade,9117,69,65,,,true,true,,,,,345,388,true,true,440,397,98,47
X,9,X126,09X126,P.S. 126 Dr Marjorie H Dunbar,9126,213,195,,,true,true,,,,,511,478,true,true,58,202,182,171
X,9,X110,09X128,Mott Hall III,9128,39,45,,,true,true,,,,,202,192,true,true,,,,
X,9,X132,09X132,P.S. 132 Garret A. Morgan,9132,124,162,,,true,true,,,,,293,298,true,true,39,82,125,30
X,9,X004,84X133,Icahn Charter School 6,9133,123,117,,,true,,,,,,173,156,true,true,29,,,34
X,9,X090,09X443,THE FAMILY SCHOOL,9143,196,195,,,true,true,,,,,449,452,true,true,52,90,104,
X,9,X166,09X449,GRANT AVENUE ELEMENTARY SCHOOL,9149,158,89,,,true,true,,,,,354,351,true,true,36,28,52,30
X,9,X090,09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,9157,164,170,,,true,true,,,,,384,389,true,true,82,46,200,54
X,9,X163,09X163,P.S. 163 Arthur A. Schomburg,9163,159,146,,,true,true,,,,,437,419,true,true,,49,,104
X,9,X170,09X170,P.S. 170,9170,,,48,48,,,true,true,true,true,227,204,,,48,46,,
X,9,X171,09X004,P.S./M.S. 004 Crotona Park West,9171,102,99,,,true,true,true,true,,true,169,159,,,,,,21
X,9,X173,09X236,P.S. 236 Langston Hughes,9173,1,,216,216,true,,true,true,,,254,283,true,true,52,46,,
X,9,X063,84X177,Mott Hall Charter School,9177,37,31,,,true,true,,,,,216,153,true,true,,89,,70
X,9,X104,09X199,P.S. 199X - The Shakespeare School,9199,138,135,,,true,true,true,true,true,true,518,512,true,true,151,196,140,139
X,9,X338,09X204,P.S. 204 Morris Heights,9204,164,172,,,true,true,true,true,true,true,488,532,true,true,73,64,124,110
X,9,X148,09X215,Kappa,9215,63,42,,,true,true,,,,,198,180,true,true,,,57,51
X,9,X148,09X517,Frederick Douglass Academy III Secondary School,9217,8,54,,,true,true,,,,,97,62,true,true,,,,
X,9,X235,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,9218,209,175,,,true,true,,true,,,903,766,true,true,101,85,359,298
X,9,X148,09X219,I.S. 219 New Venture School,9219,117,87,,,true,true,,,,,220,230,true,true,75,160,97,85
X,9,X166,09X324,Bronx Early College Academy for Teaching & Learning,9224,97,120,,,true,true,,,,,235,226,true,true,66,52,,
X,9,X240,09X327,Comprehensive Model School Project M.S. 327,9227,67,66,,,true,true,,,,,453,403,true,true,53,89,86,82
X,9,X082,09X232,I.S. 232,9232,75,89,,,true,true,,,,,273,324,true,true,101,197,,
X,9,X970,09X241,"Urban Assembly School for Applied Math and Science, The",9241,357,341,,,true,true,,,,,269,267,true,true,44,37,48,30
X,9,X002,09X250,Eximius College Preparatory Academy: A College Board School,9250,16,22,,,true,true,,,,,134,120,true,true,77,85,,
X,9,X166,09X454,Science and Technology Academy: A Mott Hall School,9254,52,45,,,true,true,,,,,275,253,true,true,172,149,96,125
X,9,X002,09X260,The Bronx Center for Science and Mat,9261,57,54,,,true,true,,,,,243,230,true,true,80,86,,
X,9,X229,09X274,The New American Academy At Roberto,9274,238,218,,,true,true,,,,,595,527,true,true,88,198,187,151
X,9,X064,09X294,The Walton Avenue School,9294,78,68,,,true,true,true,true,true,true,417,417,true,true,53,75,183,159
X,9,X082,09X303,I.S. X303 Leadership & Community Service,9303,55,54,,,true,true,,,true,,188,190,true,true,152,117,,
X,9,X064,09X311,Lucero Elementary School,9311,91,79,,,true,true,true,true,true,true,316,323,true,true,50,54,129,106
X,9,X147,09X313,I.S. 313 School of Leadership Development,9313,60,57,,,true,true,,,,,191,173,true,true,58,52,62,38
X,9,X022,09X323,Bronx Writing Academy,9323,29,32,,,true,true,,,,,188,192,true,true,68,,,
X,9,X145,09X325,ERROR: #N/A,9325,60,,,,true,,,,,,151,,true,true,30,,59,
X,9,X410,09X227,Bronx Collegiate Academy,9327,45,43,,,true,true,,,,,112,104,true,true,52,59,,56
